customer_id,weekly_visits,session_time_minutes,page_views,app_opens
126,12,13.4,48.0,12
127,7,11.05,14.0,5
128,12,15.85,36.0,14
129,12,18.14,24.0,8
130,11,20.21,33.0,9
131,11,26.71,33.0,8
132,5,17.25,10.0,4
133,6,21.98,18.0,7
134,23,22.07,92.0,21
135,6,12.64,18.0,7
136,9,20.95,27.0,7
137,2,17.3,4.0,2
138,8,17.08,32.0,10
139,5,22.37,10.0,3
140,6,20.77,12.0,7
141,8,21.22,,6
142,3,9.88,6.0,2
143,7,16.23,14.0,8
144,13,10.1,39.0,14
145,4,20.78,12.0,4
146,4,15.71,12.0,4
147,7,13.37,21.0,8
148,12,25.96,48.0,14
149,8,21.66,32.0,6
150,25,11.03,,21
151,8,17.55,24.0,7
152,6,17.26,12.0,6
153,6,16.44,18.0,5
154,6,14.81,12.0,5
155,5,13.92,10.0,6
156,4,18.67,12.0,4
157,9,18.57,27.0,8
158,2,10.54,6.0,2
159,4,9.46,12.0,3
160,6,19.02,12.0,4
161,0,25.15,0.0,1
162,8,15.15,24.0,7
163,5,19.16,15.0,6
164,5,10.91,20.0,4
165,2,16.98,6.0,1
166,10,19.23,40.0,10
167,10,13.7,20.0,10
168,15,32.22,45.0,19
169,12,19.39,24.0,14
170,4,14.52,8.0,4
171,6,14.43,18.0,4
172,5,15.71,15.0,5
173,21,15.54,63.0,16
174,4,14.29,8.0,4
175,5,22.2,10.0,4
176,1,15.41,4.0,1
177,3,11.47,9.0,3
178,3,25.36,12.0,3
179,4,23.11,8.0,4
180,6,26.61,18.0,5
181,10,18.48,40.0,12
182,6,20.41,18.0,4
183,5,18.44,20.0,3
184,5,18.58,20.0,5
185,6,5.42,24.0,5
186,4,23.42,8.0,4
187,12,16.02,48.0,11
188,18,20.48,36.0,15
189,5,14.26,20.0,3
190,8,23.37,32.0,8
191,5,16.73,20.0,5
192,5,14.87,20.0,4
193,5,11.59,20.0,5
194,5,10.93,15.0,4
195,6,16.61,18.0,6
196,6,12.81,12.0,5
197,5,12.93,15.0,5
198,7,11.8,14.0,8
199,9,17.22,27.0,6
200,3,8.39,6.0,2
201,13,14.48,26.0,15
202,6,19.52,12.0,6
203,8,11.04,32.0,6
204,1,25.44,3.0,1
205,2,10.57,8.0,2
206,5,15.15,10.0,4
207,5,14.15,15.0,3
208,16,17.25,48.0,19
209,16,16.74,48.0,13
210,17,10.28,68.0,21
211,22,17.29,44.0,25
212,6,15.48,12.0,5
213,5,11.82,20.0,5
214,6,15.21,18.0,5
215,18,22.67,36.0,14
216,3,10.67,6.0,3
217,6,15.23,12.0,7
218,9,12.06,27.0,10
219,1,20.89,4.0,1
220,7,13.82,28.0,7
221,3,21.61,12.0,3
222,13,18.84,39.0,13
223,1,24.16,4.0,1
224,25,20.67,75.0,19
225,2,18.97,8.0,1
226,16,12.58,32.0,16
227,6,19.54,24.0,6
228,10,23.65,40.0,10
229,4,10.6,,4
230,5,13.13,20.0,5
231,12,14.73,48.0,14
232,7,6.68,21.0,7
233,7,2.74,14.0,8
234,4,9.84,8.0,4
235,4,14.99,12.0,3
236,3,13.02,6.0,2
237,10,9.53,20.0,12
238,1,17.63,3.0,1
239,5,18.67,10.0,4
240,16,20.76,64.0,19
241,7,16.69,14.0,5
242,5,16.82,15.0,4
243,9,19.84,36.0,6
244,3,11.85,12.0,2
245,6,18.26,24.0,4
246,3,6.63,12.0,3
247,7,24.26,21.0,7
248,6,21.33,18.0,4
249,3,19.83,12.0,3
250,4,17.67,8.0,4
251,2,15.32,6.0,2
252,26,21.03,78.0,31
253,25,9.24,100.0,27
254,4,23.01,16.0,3
255,3,21.89,9.0,2
256,5,25.51,10.0,4
257,6,17.99,18.0,6
258,4,10.23,12.0,4
259,10,23.55,30.0,7
260,3,16.3,6.0,3
261,11,14.3,22.0,9
262,5,11.77,10.0,6
263,7,19.31,21.0,5
264,13,12.19,39.0,9
265,10,14.14,20.0,11
266,8,18.37,24.0,10
267,4,9.74,8.0,4
268,3,13.17,9.0,2
269,7,21.41,21.0,8
270,1,22.01,3.0,1
271,4,,8.0,4
272,15,20.26,60.0,15
273,2,10.89,6.0,1
274,1,14.2,2.0,1
275,10,17.1,30.0,9
276,9,25.8,27.0,10
277,3,12.01,12.0,3
278,12,15.57,24.0,8
279,5,18.93,20.0,4
280,7,27.79,21.0,4
281,18,10.65,72.0,22
282,7,17.27,14.0,6
283,4,21.76,8.0,3
284,17,27.0,34.0,15
285,5,9.34,15.0,6
286,3,23.3,12.0,2
287,8,12.98,,8
288,10,19.07,30.0,11
289,4,9.13,16.0,3
290,5,27.44,10.0,4
291,12,14.03,48.0,11
292,8,14.0,32.0,9
293,16,22.33,48.0,19
294,8,19.32,16.0,10
295,5,13.64,15.0,5
296,7,14.71,21.0,5
297,7,15.14,,9
298,6,24.41,24.0,6
299,6,7.94,18.0,4
300,6,17.23,18.0,5
301,13,12.47,39.0,14
302,12,5.0,36.0,8
303,7,16.83,14.0,6
304,3,16.26,9.0,3
305,2,20.78,6.0,1
306,3,25.62,9.0,3
307,9,22.22,18.0,11
308,5,17.31,20.0,3
309,6,18.86,24.0,7
310,16,12.15,32.0,17
311,7,24.88,28.0,8
312,10,20.99,30.0,9
313,5,8.91,20.0,4
314,17,18.72,51.0,14
315,11,10.82,33.0,13
316,9,23.48,36.0,10
317,11,13.01,33.0,11
318,11,15.82,44.0,12
319,18,27.91,54.0,18
320,12,24.43,48.0,14
321,7,14.59,21.0,8
322,16,23.62,64.0,14
323,12,4.0,48.0,10
324,7,19.49,14.0,5
325,7,17.39,28.0,5
326,4,7.13,8.0,4
327,2,19.7,4.0,2
328,8,18.18,32.0,6
329,6,11.56,18.0,5
330,7,12.04,14.0,5
331,5,17.63,20.0,4
332,6,15.83,18.0,7
333,5,28.23,20.0,5
334,7,16.21,21.0,5
335,4,15.74,8.0,3
336,4,19.96,12.0,3
337,15,11.19,30.0,15
338,2,12.72,4.0,1
339,5,14.58,20.0,5
340,8,23.01,24.0,8
341,5,3.8,20.0,4
342,7,20.55,21.0,8
343,6,14.5,24.0,4
344,1,23.17,4.0,1
345,7,9.93,14.0,5
346,12,21.34,24.0,10
347,5,18.75,10.0,6
348,6,6.2,12.0,4
349,5,23.33,15.0,5
350,7,10.91,14.0,7
351,1,13.66,3.0,1
352,2,13.53,8.0,1
353,8,21.32,24.0,9
354,5,17.38,10.0,6
355,5,5.42,10.0,4
356,6,20.97,12.0,6
357,8,19.53,24.0,7
358,5,16.35,20.0,4
359,3,15.89,6.0,2
360,25,16.81,75.0,28
361,5,14.44,20.0,3
362,4,12.86,,3
363,6,12.74,24.0,5
364,12,17.72,48.0,10
365,10,9.85,30.0,10
366,15,21.06,30.0,13
367,6,6.91,12.0,5
368,5,21.19,20.0,3
369,5,1.61,20.0,3
370,3,10.4,6.0,3
371,3,9.63,12.0,2
372,7,,14.0,8
373,9,15.03,18.0,9
374,7,13.21,14.0,6
375,11,24.83,,13
376,6,19.04,18.0,5
377,11,14.6,22.0,14
378,6,11.6,24.0,6
379,4,19.95,12.0,3
380,11,15.73,44.0,9
381,10,13.42,20.0,9
382,6,13.33,24.0,4
383,2,,6.0,1
384,10,21.54,40.0,9
385,8,18.08,24.0,7
386,8,15.46,,5
387,13,11.81,39.0,13
388,5,21.8,20.0,5
389,15,15.82,30.0,16
390,12,10.92,36.0,10
391,2,8.83,4.0,2
392,2,8.88,8.0,1
393,3,5.01,9.0,3
394,2,13.91,4.0,2
395,16,8.22,64.0,20
396,5,10.25,10.0,4
397,10,12.86,20.0,10
398,6,14.96,18.0,6
399,10,20.73,,9
400,12,,36.0,14
401,9,10.34,27.0,8
402,8,10.81,16.0,10
403,4,13.15,16.0,3
404,5,4.99,20.0,4
405,13,17.61,52.0,15
406,6,14.57,24.0,7
407,1,6.76,2.0,1
408,5,12.76,15.0,6
409,11,20.32,22.0,12
410,5,,15.0,3
411,3,20.52,9.0,3
412,5,24.56,20.0,5
413,4,19.07,8.0,3
414,5,13.97,20.0,6
415,12,14.3,48.0,10
416,7,10.33,21.0,6
417,5,9.58,20.0,4
418,9,9.74,36.0,10
419,9,7.8,36.0,10
420,0,21.94,0.0,1
421,7,28.5,21.0,5
422,8,,16.0,8
423,3,14.28,9.0,3
424,4,17.67,16.0,5
425,1,5.59,3.0,1
426,6,20.12,12.0,5
427,4,19.21,12.0,3
428,3,10.67,6.0,3
429,6,16.09,18.0,5
430,3,17.69,9.0,3
431,6,10.67,18.0,7
432,3,16.66,6.0,2
433,5,17.76,15.0,6
434,9,12.93,18.0,8
435,5,16.13,20.0,4
436,13,23.12,39.0,9
437,3,10.94,6.0,3
438,3,23.41,6.0,2
439,6,10.07,18.0,6
440,7,26.38,28.0,7
441,8,12.52,24.0,9
442,4,9.17,16.0,3
443,7,5.28,14.0,5
444,11,18.18,22.0,8
445,20,22.55,80.0,24
446,3,23.7,6.0,3
447,7,14.02,21.0,8
448,7,11.64,14.0,6
449,9,20.23,36.0,11
450,15,17.8,30.0,18
451,8,12.11,32.0,8
452,7,10.55,28.0,6
453,5,16.36,10.0,5
454,4,19.94,12.0,3
455,3,17.38,6.0,2
456,3,17.38,,2
457,13,13.59,39.0,10
458,27,24.34,54.0,29
459,12,13.13,24.0,8
460,8,12.54,32.0,10
461,6,8.67,12.0,6
462,10,17.2,30.0,9
463,5,15.13,15.0,5
464,10,26.35,30.0,10
465,6,15.09,12.0,6
466,3,16.94,9.0,3
467,3,20.42,6.0,3
468,17,32.77,68.0,21
469,5,14.17,20.0,6
470,8,8.64,32.0,8
471,5,15.73,15.0,3
472,10,19.02,40.0,11
473,4,10.74,16.0,3
474,6,20.32,24.0,6
475,11,17.7,22.0,10
476,17,15.56,68.0,12
477,5,14.14,15.0,5
478,10,13.97,30.0,12
479,5,17.12,20.0,5
480,8,5.28,16.0,7
481,8,12.22,24.0,6
482,8,9.97,16.0,6
483,10,21.0,30.0,12
484,15,19.65,60.0,12
485,3,6.95,12.0,2
486,10,5.52,30.0,10
487,6,13.9,12.0,5
488,7,20.01,14.0,7
489,5,4.69,10.0,4
490,8,13.68,32.0,7
491,4,18.92,16.0,3
492,4,15.65,12.0,4
493,11,18.09,22.0,10
494,12,12.8,24.0,13
495,13,17.41,39.0,16
496,3,13.1,6.0,3
497,10,9.17,20.0,9
498,5,18.11,10.0,6
499,8,18.25,24.0,6
500,4,14.34,8.0,5
501,3,26.07,12.0,3
502,10,16.83,30.0,8
503,3,17.87,9.0,3
504,3,16.03,12.0,3
505,8,11.77,16.0,8
506,5,15.57,20.0,3
507,3,12.56,6.0,2
508,4,17.76,16.0,4
509,18,24.64,36.0,20
510,2,17.88,4.0,2
511,4,11.79,12.0,2
512,9,18.84,18.0,8
513,5,,10.0,5
514,10,14.64,30.0,7
515,4,13.54,12.0,4
516,4,12.63,12.0,4
517,4,6.05,12.0,3
518,8,24.63,16.0,9
519,6,23.49,24.0,5
520,5,17.2,20.0,4
521,5,8.24,15.0,3
522,15,15.86,60.0,14
523,10,6.04,30.0,11
524,0,6.7,0.0,1
525,17,22.66,34.0,13
526,10,23.33,20.0,9
527,12,19.94,36.0,11
528,8,13.5,16.0,9
529,8,20.63,32.0,10
530,6,3.36,,4
531,9,18.86,27.0,10
532,4,12.99,8.0,4
533,9,11.85,27.0,11
534,5,12.66,10.0,5
535,5,10.18,20.0,3
536,3,18.33,6.0,3
537,5,13.17,10.0,5
538,8,18.87,,7
539,6,14.39,12.0,7
540,18,9.74,72.0,19
541,6,13.15,18.0,5
542,11,18.59,33.0,11
543,7,17.62,14.0,8
544,4,16.92,16.0,3
545,6,5.57,24.0,4
546,10,21.73,40.0,10
547,8,15.05,32.0,10
548,4,,12.0,4
549,2,13.86,6.0,1
550,15,23.67,30.0,18
551,8,9.89,32.0,6
552,4,16.21,16.0,4
553,8,13.23,24.0,9
554,18,21.01,72.0,18
555,10,29.84,40.0,10
556,1,17.42,,1
557,8,19.13,32.0,6
558,13,19.33,52.0,15
559,9,17.51,18.0,7
560,8,19.55,24.0,9
561,9,13.32,36.0,7
562,15,33.52,30.0,15
563,9,9.04,,10
564,16,27.98,64.0,11
565,4,15.21,8.0,2
566,7,10.75,28.0,7
567,10,16.92,30.0,9
568,6,20.61,24.0,4
569,4,10.73,16.0,3
570,16,28.46,48.0,13
571,11,16.72,33.0,14
572,8,12.21,16.0,9
573,8,16.39,32.0,8
574,6,10.04,12.0,5
575,6,18.1,24.0,6
576,9,9.18,18.0,7
577,5,8.61,15.0,3
578,3,13.49,12.0,3
579,8,5.94,16.0,6
580,10,28.97,30.0,8
581,4,16.23,12.0,3
582,11,21.16,33.0,11
583,3,17.89,12.0,2
584,6,21.37,12.0,7
585,5,23.42,,5
586,4,12.48,12.0,4
587,5,12.79,20.0,6
588,12,18.06,48.0,15
589,4,24.24,12.0,3
590,5,1.02,15.0,5
591,2,5.95,4.0,1
592,4,14.79,8.0,4
593,6,18.9,24.0,6
594,4,12.72,8.0,4
595,9,10.87,27.0,8
596,1,22.83,4.0,1
597,5,15.12,10.0,4
598,6,13.75,18.0,4
599,1,18.1,4.0,1
600,6,3.04,12.0,4
601,19,20.11,57.0,13
602,2,14.13,6.0,1
603,3,17.26,9.0,2
604,3,14.83,12.0,3
605,3,13.35,12.0,2
606,1,21.78,3.0,1
607,2,16.18,4.0,2
608,11,18.39,22.0,13
609,2,13.5,8.0,2
610,19,17.76,38.0,22
611,27,21.54,108.0,25
612,4,11.17,12.0,5
613,5,21.72,20.0,5
614,10,13.59,20.0,12
615,7,8.67,14.0,5
616,11,23.53,44.0,9
617,3,13.26,12.0,2
618,6,20.23,24.0,6
619,4,21.09,16.0,2
620,3,12.68,12.0,2
621,3,5.18,12.0,2
622,8,23.46,32.0,7
623,3,11.5,9.0,3
624,3,21.59,9.0,2
625,5,8.71,20.0,3
626,3,13.9,6.0,2
627,7,19.47,21.0,7
628,5,11.27,20.0,3
629,14,20.05,56.0,17
630,7,7.73,28.0,6
631,8,6.52,24.0,8
632,8,18.5,24.0,5
633,6,12.52,12.0,4
634,3,22.61,9.0,3
635,5,12.5,20.0,5
636,36,10.97,144.0,35
637,9,25.57,36.0,7
638,11,16.79,44.0,8
639,2,12.95,8.0,2
640,9,11.64,36.0,6
641,3,19.91,6.0,3
642,3,19.96,12.0,2
643,6,6.58,12.0,5
644,8,18.25,16.0,8
645,15,13.27,30.0,12
646,4,26.2,8.0,3
647,15,17.73,45.0,19
648,7,2.71,,6
649,13,17.05,52.0,13
650,5,12.12,15.0,3
651,4,21.16,12.0,5
652,3,11.16,9.0,2
653,21,19.47,63.0,16
654,5,13.98,10.0,5
655,1,14.78,2.0,1
656,2,26.37,6.0,2
657,5,8.25,20.0,4
658,10,19.8,40.0,8
659,7,16.13,,5
660,10,25.12,20.0,8
661,11,8.4,22.0,12
662,4,19.19,16.0,3
663,13,15.75,39.0,16
664,3,16.52,12.0,2
665,21,20.53,84.0,14
666,10,16.25,40.0,12
667,8,14.74,32.0,9
668,4,9.31,16.0,4
669,5,11.37,10.0,5
670,3,11.27,12.0,2
671,8,14.68,32.0,7
672,5,8.59,15.0,6
673,6,23.0,12.0,5
674,21,21.93,63.0,17
675,7,12.25,21.0,7
676,5,25.79,10.0,5
677,4,18.61,16.0,3
678,7,14.01,28.0,6
679,9,17.06,27.0,9
680,38,21.62,76.0,34
681,11,14.97,33.0,10
682,3,9.65,12.0,3
683,8,9.14,16.0,7
684,7,14.79,14.0,8
685,7,13.94,21.0,7
686,8,18.85,16.0,7
687,4,24.67,12.0,4
688,2,6.79,6.0,1
689,14,12.75,42.0,11
690,9,12.5,36.0,8
691,7,21.07,21.0,8
692,12,24.04,36.0,9
693,7,9.8,28.0,8
694,6,18.77,24.0,4
695,4,17.59,8.0,2
696,8,20.05,24.0,8
697,6,13.24,12.0,7
698,9,20.16,27.0,11
699,2,11.65,4.0,2
700,9,21.22,18.0,10
701,7,10.39,21.0,7
702,9,17.14,27.0,7
703,7,6.14,28.0,7
704,9,18.19,36.0,10
705,7,12.57,21.0,7
706,2,20.29,6.0,1
707,10,19.61,20.0,9
708,4,20.43,12.0,3
709,10,18.9,30.0,11
710,6,20.57,24.0,6
711,8,19.11,16.0,8
712,2,14.97,8.0,2
713,9,13.39,36.0,8
714,3,11.72,6.0,2
715,9,13.28,27.0,10
716,17,30.21,68.0,17
717,9,8.92,18.0,7
718,17,28.11,34.0,12
719,5,12.13,15.0,6
720,5,12.16,15.0,5
721,8,16.04,16.0,6
722,8,22.67,32.0,8
723,10,19.4,20.0,7
724,6,18.19,18.0,6
725,10,11.89,40.0,10
726,11,23.33,44.0,11
727,8,15.76,24.0,6
728,5,9.39,10.0,4
729,3,11.28,12.0,2
730,23,25.2,92.0,24
731,11,14.1,33.0,10
732,4,18.01,12.0,5
733,8,22.22,24.0,7
734,7,10.03,28.0,8
735,3,18.4,6.0,2
736,10,6.96,40.0,10
737,9,,18.0,11
738,13,17.62,26.0,11
739,7,9.33,14.0,6
740,9,20.71,36.0,8
741,18,18.61,72.0,18
742,12,18.62,24.0,9
743,7,7.09,28.0,5
744,14,11.91,42.0,16
745,3,14.06,9.0,2
746,9,31.19,27.0,6
747,8,14.35,24.0,9
748,1,16.29,4.0,1
749,6,21.28,24.0,5
750,8,24.68,32.0,7
751,11,19.4,33.0,9
752,7,10.75,28.0,5
753,4,21.85,12.0,4
754,21,11.58,63.0,24
755,7,16.85,14.0,6
756,2,5.03,4.0,1
757,2,18.3,8.0,1
758,5,7.81,20.0,6
759,4,20.4,12.0,4
760,10,16.61,20.0,10
761,6,9.04,12.0,4
762,19,6.34,38.0,22
763,12,21.84,24.0,13
764,15,20.55,30.0,19
765,9,17.85,27.0,10
766,7,21.14,14.0,8
767,5,6.19,15.0,5
768,3,12.73,9.0,3
769,3,9.07,6.0,2
770,6,17.64,12.0,6
771,11,12.25,44.0,10
772,25,13.21,50.0,31
773,8,14.98,24.0,9
774,2,26.59,4.0,1
775,8,4.34,16.0,9
776,4,11.08,16.0,5
777,13,13.02,39.0,16
778,7,14.31,21.0,5
779,4,15.46,12.0,5
780,11,11.0,33.0,8
781,8,14.0,24.0,9
782,7,16.06,21.0,5
783,9,13.45,36.0,11
784,7,4.77,14.0,5
785,2,7.45,6.0,1
786,10,19.42,40.0,10
787,21,23.35,63.0,21
788,7,10.88,28.0,8
789,9,30.61,18.0,8
790,13,14.76,52.0,10
791,6,18.09,18.0,5
792,15,20.03,60.0,15
793,6,9.16,24.0,6
794,3,8.02,6.0,3
795,4,12.84,16.0,3
796,8,22.03,32.0,9
797,6,11.63,18.0,5
798,3,15.39,6.0,3
799,12,14.11,24.0,8
800,12,11.22,24.0,10
801,4,14.51,16.0,2
802,11,14.56,44.0,12
803,7,20.31,21.0,7
804,24,27.62,72.0,28
805,11,8.68,,10
806,20,22.13,60.0,18
807,4,13.87,16.0,3
808,18,27.18,54.0,20
809,4,14.8,16.0,3
810,9,19.32,36.0,6
811,9,,18.0,8
812,11,25.05,33.0,7
813,4,15.51,16.0,4
814,2,12.59,4.0,1
815,4,8.58,8.0,4
816,6,19.62,24.0,5
817,10,12.32,40.0,10
818,9,13.12,27.0,6
819,8,13.79,24.0,9
820,6,15.76,24.0,5
821,5,18.36,15.0,3
822,3,13.85,12.0,2
823,4,12.21,12.0,3
824,9,21.78,18.0,11
825,5,13.1,20.0,6
826,8,15.83,16.0,9
827,14,10.24,56.0,11
828,8,19.87,32.0,5
829,3,11.16,6.0,2
830,8,15.21,32.0,5
831,4,21.67,16.0,4
832,8,16.99,32.0,6
833,6,17.0,,4
834,16,18.15,32.0,17
835,8,15.62,32.0,9
836,6,22.9,12.0,5
837,5,11.49,10.0,6
838,3,12.39,12.0,3
839,5,20.22,15.0,5
840,4,12.18,8.0,2
841,9,17.61,36.0,9
842,4,5.28,16.0,3
843,6,20.3,,5
844,8,17.06,16.0,9
845,5,12.98,10.0,4
846,18,23.49,36.0,22
847,6,12.3,24.0,4
848,2,16.32,6.0,1
849,5,31.29,20.0,6
850,7,10.56,28.0,5
851,10,13.0,40.0,10
852,2,17.48,4.0,1
853,5,15.53,15.0,6
854,2,14.82,6.0,1
855,6,19.17,18.0,5
856,5,22.12,15.0,4
857,7,8.38,14.0,5
858,3,20.96,6.0,3
859,9,16.2,27.0,7
860,6,8.46,18.0,4
861,10,11.71,20.0,8
862,10,10.93,30.0,10
863,7,32.96,14.0,7
864,3,14.78,6.0,2
865,3,12.7,9.0,2
866,4,11.85,16.0,5
867,4,20.65,12.0,4
868,4,20.91,12.0,3
869,4,14.4,12.0,3
870,5,23.76,20.0,5
871,8,13.96,24.0,9
872,6,16.19,18.0,7
873,2,16.34,4.0,1
874,19,26.29,57.0,15
875,5,13.21,10.0,3
876,3,7.75,9.0,3
877,5,11.67,10.0,5
878,4,11.3,12.0,3
879,14,11.84,56.0,17
880,10,15.1,40.0,9
881,7,18.34,28.0,7
882,9,26.55,36.0,8
883,6,11.23,12.0,4
884,5,13.77,20.0,6
885,18,8.83,,15
886,6,21.13,24.0,6
887,8,13.5,16.0,6
888,5,16.43,15.0,5
889,2,11.75,6.0,1
890,13,20.72,52.0,16
891,3,15.42,9.0,2
892,7,12.72,14.0,6
893,4,20.25,12.0,4
894,4,16.73,8.0,2
895,10,12.47,30.0,9
896,5,15.02,,5
897,5,14.08,15.0,4
898,2,10.62,4.0,1
899,8,30.41,24.0,8
900,5,30.82,10.0,5
901,10,22.39,40.0,10
902,9,13.01,36.0,8
903,3,6.84,6.0,2
904,10,3.88,20.0,11
905,4,12.86,16.0,3
906,3,16.97,12.0,3
907,8,,16.0,7
908,6,17.58,24.0,7
909,2,8.7,4.0,1
910,5,10.37,20.0,5
911,8,13.67,16.0,6
912,5,15.9,20.0,6
913,15,16.67,45.0,16
914,3,18.66,9.0,3
915,10,17.15,30.0,10
916,8,27.43,,6
917,7,11.66,28.0,8
918,7,19.87,28.0,6
919,13,7.07,52.0,13
920,3,18.29,6.0,2
921,15,17.63,60.0,11
922,10,11.16,30.0,9
923,9,15.08,18.0,11
924,3,20.99,9.0,3
925,17,20.82,34.0,15
926,4,,8.0,3
927,16,22.46,,19
928,5,16.27,20.0,5
929,9,18.74,36.0,11
930,7,10.69,28.0,7
931,10,15.02,20.0,10
932,16,23.76,48.0,14
933,5,14.99,20.0,5
934,7,10.12,28.0,6
935,4,17.74,12.0,5
936,5,21.46,15.0,6
937,9,31.67,18.0,10
938,4,8.85,8.0,4
939,7,11.53,28.0,8
940,7,23.97,21.0,8
941,5,12.09,10.0,5
942,15,23.53,60.0,16
943,7,15.18,28.0,4
944,5,18.13,15.0,6
945,3,14.85,9.0,3
946,16,17.47,64.0,13
947,3,12.91,12.0,3
948,6,13.67,12.0,6
949,1,13.79,2.0,1
950,7,16.8,28.0,8
951,15,8.97,45.0,12
952,3,24.16,6.0,2
953,12,18.97,24.0,12
954,26,23.53,78.0,25
955,16,13.74,48.0,14
956,18,11.0,36.0,14
957,13,21.18,26.0,12
958,4,19.7,8.0,3
959,7,5.09,21.0,7
960,5,18.54,20.0,5
961,11,13.83,22.0,11
962,8,25.86,24.0,9
963,5,28.28,15.0,5
964,3,7.23,6.0,3
965,5,9.53,20.0,4
966,5,16.51,10.0,4
967,2,14.11,4.0,2
968,5,16.42,10.0,5
969,18,11.81,36.0,18
970,5,20.89,10.0,6
971,4,13.53,16.0,4
972,4,15.56,8.0,4
973,6,20.89,18.0,4
974,5,16.72,20.0,5
975,3,10.18,9.0,3
976,10,14.54,40.0,11
977,11,16.59,33.0,14
978,8,13.9,24.0,5
979,5,17.62,20.0,5
980,11,12.73,22.0,12
981,8,13.44,32.0,8
982,1,20.27,3.0,1
983,10,27.47,30.0,10
984,8,11.92,32.0,5
985,10,19.76,40.0,11
986,6,11.04,18.0,4
987,11,12.54,33.0,10
988,12,18.47,36.0,8
989,4,17.07,8.0,4
990,15,22.02,60.0,12
991,10,26.33,30.0,9
992,13,16.89,26.0,11
993,1,12.74,4.0,1
994,12,11.82,24.0,12
995,7,13.55,21.0,7
996,6,4.3,18.0,5
997,4,22.39,8.0,4
998,13,24.63,26.0,13
999,9,21.52,18.0,9
1000,12,12.81,36.0,14
1001,7,15.31,14.0,5
1002,5,4.01,20.0,5
1003,11,11.49,44.0,12
1004,5,7.93,15.0,5
