customer_id,recency_days,frequency,monetary,first_purchase,last_purchase,avg_order_value,r_score,f_score,m_score,rfm_score,segment,kmeans_cluster,kmeans_label
48,2,11,454.87,2019-04-22,2023-12-27,41.35181818181818,5,3,3,3.7,Loyal Customers,1,Mid Value
49,345,6,300.53,2019-11-05,2023-01-18,50.08833333333333,1,1,1,1.0,Lost,0,Low Value
50,140,4,130.93,2019-12-20,2023-08-11,32.7325,2,1,1,1.35,Lost,0,Low Value
51,160,10,339.31,2019-01-05,2023-07-22,33.931,2,3,2,2.25,At Risk,0,Low Value
52,252,10,527.47,2019-10-26,2023-04-21,52.747,1,3,3,2.3000000000000003,Others,3,High Value
53,140,6,237.91,2019-05-01,2023-08-11,39.651666666666664,2,1,1,1.35,Lost,0,Low Value
54,154,9,234.45,2019-11-04,2023-07-28,26.049999999999997,2,2,1,1.6,Lost,0,Low Value
55,109,7,302.5,2019-11-05,2023-09-11,43.214285714285715,2,1,1,1.35,Lost,0,Low Value
56,7,14,517.9,2019-02-22,2023-12-22,36.99285714285714,5,5,3,4.2,Loyal Customers,2,Premium
57,46,7,422.84,2019-02-14,2023-11-13,60.40571428571428,3,1,2,2.0999999999999996,Potential Loyalists,0,Low Value
58,234,11,704.66,2019-10-03,2023-05-09,64.06,2,3,4,3.05,Loyal Customers,3,High Value
59,11,15,761.37,2019-06-05,2023-12-18,50.758,5,5,4,4.6,Champions,2,Premium
60,138,12,548.13,2019-07-28,2023-08-13,45.6775,2,4,3,2.9000000000000004,Loyal Customers,3,High Value
61,1150,8,1129.91,2019-05-17,2020-11-04,141.23875,1,2,5,2.85,Others,3,High Value
62,380,7,381.24,2019-12-11,2022-12-14,54.462857142857146,1,1,2,1.4,Lost,0,Low Value
63,417,8,631.95,2019-02-11,2022-11-07,78.99375,1,2,4,2.45,Others,3,High Value
64,54,10,488.97,2019-02-26,2023-11-05,48.897000000000006,3,3,3,3.0,Loyal Customers,3,High Value
65,13,16,2990.86,2019-11-19,2023-12-16,186.92875,5,5,5,5.0,Champions,2,Premium
66,19,14,555.15,2019-09-03,2023-12-10,39.653571428571425,5,5,3,4.2,Loyal Customers,2,Premium
67,39,5,182.38,2019-11-09,2023-11-20,36.476,4,1,1,2.05,Potential Loyalists,1,Mid Value
68,7,13,418.5,2019-10-22,2023-12-22,32.19230769230769,5,4,2,3.55,Others,1,Mid Value
69,71,10,567.57,2019-01-08,2023-10-19,56.757000000000005,3,3,4,3.4,Loyal Customers,3,High Value
70,12,15,565.81,2020-07-05,2023-12-17,37.720666666666666,5,5,4,4.6,Champions,2,Premium
71,3,9,497.61,2019-10-09,2023-12-26,55.29,5,2,3,3.45,Potential Loyalists,1,Mid Value
72,22,13,756.8100000000001,2019-01-17,2023-12-07,58.21615384615385,5,4,4,4.35,Champions,2,Premium
73,44,5,175.75,2019-04-10,2023-11-15,35.15,4,1,1,2.05,Potential Loyalists,1,Mid Value
74,10,11,725.15,2019-08-04,2023-12-19,65.92272727272727,5,3,4,4.1,Loyal Customers,2,Premium
75,9,13,750.24,2019-01-03,2023-12-20,57.71076923076923,5,4,4,4.35,Champions,2,Premium
76,162,11,448.94,2019-01-15,2023-07-20,40.81272727272727,2,3,3,2.6500000000000004,Loyal Customers,3,High Value
77,253,5,190.02,2019-08-26,2023-04-20,38.004000000000005,1,1,1,1.0,Lost,0,Low Value
78,2,8,389.05,2019-11-16,2023-12-27,48.63125,5,2,2,3.05,Potential Loyalists,1,Mid Value
79,7,7,205.26999999999998,2020-02-20,2023-12-22,29.32428571428571,5,1,1,2.4,Potential Loyalists,1,Mid Value
80,124,5,747.36,2020-11-21,2023-08-27,149.472,2,1,4,2.55,Others,0,Low Value
81,68,16,851.3299999999999,2019-04-17,2023-10-22,53.208124999999995,3,5,5,4.3,Loyal Customers,2,Premium
82,14,9,592.48,2019-08-14,2023-12-15,65.83111111111111,5,2,4,3.85,Others,1,Mid Value
83,45,16,750.68,2019-03-16,2023-11-14,46.9175,3,5,4,3.9,Loyal Customers,2,Premium
84,231,12,540.35,2019-06-20,2023-05-12,45.02916666666667,2,4,3,2.9000000000000004,Loyal Customers,3,High Value
85,42,10,402.4,2019-10-26,2023-11-17,40.239999999999995,4,3,2,2.95,Potential Loyalists,1,Mid Value
86,44,12,745.75,2019-06-08,2023-11-15,62.145833333333336,4,4,4,4.0,Champions,2,Premium
87,49,12,620.44,2019-01-11,2023-11-10,51.70333333333334,3,4,4,3.65,Loyal Customers,3,High Value
88,733,9,448.03000000000003,2019-06-07,2021-12-26,49.781111111111116,1,2,3,2.0500000000000003,Others,0,Low Value
89,25,22,1267.77,2019-03-18,2023-12-04,57.62590909090909,4,5,5,4.65,Champions,2,Premium
90,54,13,1051.21,2019-08-22,2023-11-05,80.8623076923077,3,4,5,4.05,Loyal Customers,2,Premium
91,24,4,138.0,2020-09-19,2023-12-05,34.5,5,1,1,2.4,Potential Loyalists,1,Mid Value
92,19,12,445.17,2019-02-03,2023-12-10,37.097500000000004,5,4,3,3.95,Loyal Customers,2,Premium
93,34,11,732.72,2019-04-18,2023-11-25,66.61090909090909,4,3,4,3.75,Loyal Customers,2,Premium
94,48,7,314.4,2019-11-12,2023-11-11,44.91428571428571,3,1,1,1.6999999999999997,Potential Loyalists,0,Low Value
95,552,11,336.47,2019-05-22,2022-06-25,30.58818181818182,1,3,2,1.9000000000000001,Others,0,Low Value
96,436,11,379.18,2019-05-25,2022-10-19,34.47090909090909,1,3,2,1.9000000000000001,Others,0,Low Value
97,101,12,1001.06,2019-05-18,2023-09-19,83.42166666666667,2,4,5,3.7,Loyal Customers,3,High Value
98,3,10,490.33,2020-07-25,2023-12-26,49.033,5,3,3,3.7,Loyal Customers,1,Mid Value
99,51,10,493.40999999999997,2019-11-08,2023-11-08,49.340999999999994,3,3,3,3.0,Loyal Customers,3,High Value
100,371,11,773.95,2019-01-23,2022-12-23,70.35909090909091,1,3,5,3.1,Others,3,High Value
101,315,15,698.9399999999999,2019-06-14,2023-02-17,46.596,1,5,4,3.2,Others,3,High Value
102,774,5,369.02,2019-05-17,2021-11-15,73.804,1,1,2,1.4,Lost,0,Low Value
103,57,9,525.28,2019-11-21,2023-11-02,58.364444444444445,3,2,3,2.75,Potential Loyalists,1,Mid Value
104,8,15,952.5699999999999,2019-01-26,2023-12-21,63.504666666666665,5,5,5,5.0,Champions,2,Premium
105,40,12,936.48,2019-03-24,2023-11-19,78.04,4,4,5,4.4,Champions,2,Premium
106,89,13,961.55,2019-05-05,2023-10-01,73.96538461538461,2,4,5,3.7,Loyal Customers,3,High Value
107,155,6,359.74,2020-09-02,2023-07-27,59.95666666666667,2,1,2,1.75,Lost,0,Low Value
108,167,7,467.45,2019-01-09,2023-07-15,66.77857142857142,2,1,3,2.1500000000000004,Others,0,Low Value
109,20,10,611.87,2019-11-11,2023-12-09,61.187,5,3,4,4.1,Loyal Customers,2,Premium
110,193,8,342.84000000000003,2019-10-02,2023-06-19,42.855000000000004,2,2,2,2.0,At Risk,0,Low Value
111,58,7,510.71000000000004,2020-04-21,2023-11-01,72.95857142857143,3,1,3,2.5,Potential Loyalists,1,Mid Value
112,31,11,743.03,2019-06-19,2023-11-28,67.54818181818182,4,3,4,3.75,Loyal Customers,2,Premium
113,24,14,799.4399999999999,2019-02-10,2023-12-05,57.10285714285714,5,5,5,5.0,Champions,2,Premium
114,28,12,556.53,2020-02-05,2023-12-01,46.3775,4,4,4,4.0,Champions,2,Premium
115,57,13,759.91,2019-08-23,2023-11-02,58.45461538461538,3,4,4,3.65,Loyal Customers,3,High Value
116,103,8,375.03000000000003,2019-02-27,2023-09-17,46.878750000000004,2,2,2,2.0,At Risk,0,Low Value
117,191,7,330.32,2019-05-11,2023-06-21,47.18857142857143,2,1,2,1.75,Lost,0,Low Value
118,156,14,819.5400000000001,2019-10-23,2023-07-26,58.53857142857144,2,5,5,3.95,Loyal Customers,3,High Value
119,33,14,580.74,2019-11-05,2023-11-26,41.48142857142857,4,5,4,4.25,Champions,2,Premium
120,17,9,272.98,2019-09-07,2023-12-12,30.331111111111113,5,2,1,2.65,Potential Loyalists,1,Mid Value
121,26,14,1841.95,2019-01-19,2023-12-03,131.56785714285715,4,5,5,4.65,Champions,2,Premium
122,70,14,1413.94,2019-04-09,2023-10-20,100.99571428571429,3,5,5,4.3,Loyal Customers,2,Premium
123,6,12,963.4100000000001,2019-05-09,2023-12-23,80.28416666666668,5,4,5,4.75,Champions,2,Premium
124,767,12,686.02,2019-01-07,2021-11-22,57.16833333333333,1,4,4,2.95,Others,3,High Value
125,72,11,771.6,2019-01-07,2023-10-18,70.14545454545454,3,3,5,3.8,Loyal Customers,3,High Value
126,57,7,497.35,2019-03-06,2023-11-02,71.05,3,1,3,2.5,Potential Loyalists,1,Mid Value
127,367,8,392.4,2019-02-18,2022-12-27,49.05,1,2,2,1.65,Lost,0,Low Value
128,35,17,1076.97,2019-10-11,2023-11-24,63.351176470588236,4,5,5,4.65,Champions,2,Premium
129,37,10,762.01,2020-05-27,2023-11-22,76.201,4,3,4,3.75,Loyal Customers,2,Premium
130,166,7,449.0,2019-06-24,2023-07-16,64.14285714285714,2,1,3,2.1500000000000004,Others,0,Low Value
131,204,8,601.08,2020-09-18,2023-06-08,75.135,2,2,4,2.8,At Risk,3,High Value
132,83,6,367.04,2019-12-09,2023-10-07,61.17333333333334,3,1,2,2.0999999999999996,Potential Loyalists,0,Low Value
133,878,9,521.83,2019-05-26,2021-08-03,57.98111111111112,1,2,3,2.0500000000000003,Others,0,Low Value
134,93,12,1206.51,2019-06-05,2023-09-27,100.5425,2,4,5,3.7,Loyal Customers,3,High Value
135,33,12,459.59999999999997,2020-02-05,2023-11-26,38.3,4,4,3,3.6,Loyal Customers,2,Premium
136,33,10,1293.67,2019-06-25,2023-11-26,129.36700000000002,4,3,5,4.15,Loyal Customers,2,Premium
137,43,10,372.96999999999997,2019-01-19,2023-11-16,37.297,4,3,2,2.95,Potential Loyalists,1,Mid Value
138,47,6,259.8,2019-06-14,2023-11-12,43.300000000000004,3,1,1,1.6999999999999997,Potential Loyalists,0,Low Value
139,49,5,491.68999999999994,2020-06-21,2023-11-10,98.338,3,1,3,2.5,Potential Loyalists,1,Mid Value
140,42,7,325.25,2019-06-12,2023-11-17,46.464285714285715,4,1,2,2.45,Potential Loyalists,1,Mid Value
141,478,9,587.7,2019-08-15,2022-09-07,65.30000000000001,1,2,4,2.45,Others,3,High Value
142,10,13,521.62,2019-03-20,2023-12-19,40.12461538461538,5,4,3,3.95,Loyal Customers,2,Premium
143,64,10,494.39,2019-01-23,2023-10-26,49.439,3,3,3,3.0,Loyal Customers,3,High Value
144,75,8,586.73,2019-01-07,2023-10-15,73.34125,3,2,4,3.15,At Risk,3,High Value
145,753,5,295.86,2019-12-07,2021-12-06,59.172000000000004,1,1,1,1.0,Lost,0,Low Value
146,68,6,183.14,2021-08-24,2023-10-22,30.52333333333333,3,1,1,1.6999999999999997,Potential Loyalists,0,Low Value
147,400,7,252.34,2019-11-02,2022-11-24,36.04857142857143,1,1,1,1.0,Lost,0,Low Value
148,245,14,1156.72,2019-03-14,2023-04-28,82.62285714285714,2,5,5,3.95,Loyal Customers,3,High Value
149,165,10,461.68,2019-11-01,2023-07-17,46.168,2,3,3,2.6500000000000004,Loyal Customers,3,High Value
150,83,9,933.9399999999999,2019-04-11,2023-10-07,103.77111111111111,3,2,5,3.55,At Risk,3,High Value
151,56,10,530.18,2019-03-16,2023-11-03,53.017999999999994,3,3,3,3.0,Loyal Customers,3,High Value
152,17,8,288.46999999999997,2020-12-13,2023-12-12,36.058749999999996,5,2,1,2.65,Potential Loyalists,1,Mid Value
153,349,5,312.53999999999996,2019-12-19,2023-01-14,62.507999999999996,1,1,1,1.0,Lost,0,Low Value
154,116,10,436.13,2019-07-11,2023-09-04,43.613,2,3,3,2.6500000000000004,Loyal Customers,3,High Value
155,67,12,376.6,2019-04-26,2023-10-23,31.383333333333336,3,4,2,2.8499999999999996,At Risk,1,Mid Value
156,38,9,360.88,2019-01-19,2023-11-21,40.09777777777778,4,2,2,2.7,Potential Loyalists,1,Mid Value
157,4,15,659.67,2019-10-03,2023-12-25,43.977999999999994,5,5,4,4.6,Champions,2,Premium
158,415,9,365.37,2019-10-22,2022-11-09,40.596666666666664,1,2,2,1.65,Lost,0,Low Value
159,32,7,246.47,2019-01-14,2023-11-27,35.21,4,1,1,2.05,Potential Loyalists,1,Mid Value
160,12,12,412.52,2019-02-09,2023-12-17,34.376666666666665,5,4,2,3.55,Others,1,Mid Value
161,37,12,465.19,2020-10-25,2023-11-22,38.76583333333333,4,4,3,3.6,Loyal Customers,2,Premium
162,48,13,814.03,2019-02-25,2023-11-11,62.61769230769231,3,4,5,4.05,Loyal Customers,2,Premium
163,34,9,306.75,2020-10-26,2023-11-25,34.083333333333336,4,2,1,2.3,Potential Loyalists,1,Mid Value
164,193,13,755.87,2019-04-05,2023-06-19,58.143846153846155,2,4,4,3.3,Loyal Customers,3,High Value
165,72,13,491.15,2019-01-26,2023-10-18,37.78076923076923,3,4,3,3.25,Loyal Customers,3,High Value
166,48,12,705.13,2019-02-14,2023-11-11,58.76083333333333,3,4,4,3.65,Loyal Customers,3,High Value
167,10,14,748.29,2019-08-14,2023-12-19,53.449285714285715,5,5,4,4.6,Champions,2,Premium
168,296,8,720.4399999999999,2020-09-21,2023-03-08,90.05499999999999,1,2,4,2.45,Others,3,High Value
169,6,13,1169.71,2020-08-10,2023-12-23,89.97769230769231,5,4,5,4.75,Champions,2,Premium
170,32,5,133.92000000000002,2019-11-06,2023-11-27,26.784000000000002,4,1,1,2.05,Potential Loyalists,1,Mid Value
171,84,8,271.46000000000004,2019-02-13,2023-10-06,33.932500000000005,3,2,1,1.9499999999999997,Potential Loyalists,0,Low Value
172,44,13,480.98,2019-02-23,2023-11-15,36.99846153846154,4,4,3,3.6,Loyal Customers,2,Premium
173,18,7,770.94,2020-10-05,2023-12-11,110.13428571428572,5,1,5,4.0,Others,1,Mid Value
174,6,10,602.66,2020-02-27,2023-12-23,60.266,5,3,4,4.1,Loyal Customers,2,Premium
175,44,8,329.9,2019-04-07,2023-11-15,41.2375,4,2,2,2.7,Potential Loyalists,1,Mid Value
176,444,4,112.37,2019-04-05,2022-10-11,28.0925,1,1,1,1.0,Lost,0,Low Value
177,307,8,253.28,2019-08-13,2023-02-25,31.66,1,2,1,1.25,Lost,0,Low Value
178,398,8,269.46999999999997,2019-01-27,2022-11-26,33.683749999999996,1,2,1,1.25,Lost,0,Low Value
179,141,6,376.74,2020-04-08,2023-08-10,62.79,2,1,2,1.75,Lost,0,Low Value
180,16,12,661.0500000000001,2019-02-07,2023-12-13,55.087500000000006,5,4,4,4.35,Champions,2,Premium
181,341,11,923.61,2019-10-22,2023-01-22,83.96454545454546,1,3,5,3.1,Others,3,High Value
182,38,12,424.21000000000004,2019-11-05,2023-11-21,35.350833333333334,4,4,2,3.2,Others,1,Mid Value
183,12,8,314.57,2021-01-25,2023-12-17,39.32125,5,2,1,2.65,Potential Loyalists,1,Mid Value
184,32,6,420.17,2019-09-01,2023-11-27,70.02833333333334,4,1,2,2.45,Potential Loyalists,1,Mid Value
185,135,12,576.46,2019-07-28,2023-08-16,48.038333333333334,2,4,4,3.3,Loyal Customers,3,High Value
186,745,9,876.8900000000001,2019-03-21,2021-12-14,97.43222222222224,1,2,5,2.85,Others,3,High Value
187,14,11,663.59,2019-07-26,2023-12-15,60.32636363636364,5,3,4,4.1,Loyal Customers,2,Premium
188,129,13,974.45,2019-03-14,2023-08-22,74.95769230769231,2,4,5,3.7,Loyal Customers,3,High Value
189,37,6,297.33,2019-07-11,2023-11-22,49.555,4,1,1,2.05,Potential Loyalists,1,Mid Value
190,48,16,972.79,2019-07-19,2023-11-11,60.799375,3,5,5,4.3,Loyal Customers,2,Premium
191,66,12,503.12,2019-06-19,2023-10-24,41.92666666666667,3,4,3,3.25,Loyal Customers,3,High Value
192,4,10,642.41,2019-11-16,2023-12-25,64.241,5,3,4,4.1,Loyal Customers,2,Premium
193,216,6,284.85,2019-03-03,2023-05-27,47.475,2,1,1,1.35,Lost,0,Low Value
194,405,13,765.46,2019-11-28,2022-11-19,58.88153846153846,1,4,5,3.35,Others,3,High Value
195,9,9,432.24,2019-10-14,2023-12-20,48.02666666666667,5,2,3,3.45,Potential Loyalists,1,Mid Value
196,336,13,564.75,2019-10-22,2023-01-27,43.44230769230769,1,4,4,2.95,Others,3,High Value
197,8,13,887.5699999999999,2019-12-01,2023-12-21,68.27461538461537,5,4,5,4.75,Champions,2,Premium
198,346,10,1210.51,2019-03-14,2023-01-17,121.051,1,3,5,3.1,Others,3,High Value
199,34,9,844.91,2019-12-24,2023-11-25,93.87888888888888,4,2,5,3.9,Others,2,Premium
200,15,11,707.46,2019-04-03,2023-12-14,64.31454545454545,5,3,4,4.1,Loyal Customers,2,Premium
201,49,7,451.05,2021-05-07,2023-11-10,64.43571428571428,3,1,3,2.5,Potential Loyalists,1,Mid Value
202,339,6,269.46,2019-11-23,2023-01-24,44.91,1,1,1,1.0,Lost,0,Low Value
203,40,11,333.97,2019-08-06,2023-11-19,30.360909090909093,4,3,2,2.95,Potential Loyalists,1,Mid Value
204,385,10,351.18,2019-04-09,2022-12-09,35.118,1,3,2,1.9000000000000001,Others,0,Low Value
205,46,9,333.04,2019-02-08,2023-11-13,37.004444444444445,3,2,2,2.3499999999999996,Potential Loyalists,1,Mid Value
206,375,6,180.82999999999998,2019-03-10,2022-12-19,30.138333333333332,1,1,1,1.0,Lost,0,Low Value
207,19,11,382.12,2019-11-03,2023-12-10,34.73818181818182,5,3,2,3.3,Potential Loyalists,1,Mid Value
208,105,12,1222.88,2019-07-20,2023-09-15,101.90666666666668,2,4,5,3.7,Loyal Customers,3,High Value
209,58,8,551.55,2019-01-01,2023-11-01,68.94375,3,2,3,2.75,Potential Loyalists,1,Mid Value
210,241,14,884.02,2019-03-01,2023-05-02,63.144285714285715,2,5,5,3.95,Loyal Customers,3,High Value
211,10,13,1727.76,2019-11-24,2023-12-19,132.9046153846154,5,4,5,4.75,Champions,2,Premium
212,43,15,471.54,2019-08-19,2023-11-16,31.436,4,5,3,3.85,Loyal Customers,2,Premium
213,21,9,370.07,2019-05-21,2023-12-08,41.11888888888889,5,2,2,3.05,Potential Loyalists,1,Mid Value
214,371,4,232.63,2019-12-07,2022-12-23,58.1575,1,1,1,1.0,Lost,0,Low Value
215,282,9,677.86,2019-12-21,2023-03-22,75.31777777777778,1,2,4,2.45,Others,3,High Value
216,39,13,523.25,2020-11-18,2023-11-20,40.25,4,4,3,3.6,Loyal Customers,2,Premium
217,15,8,872.1300000000001,2019-11-18,2023-12-14,109.01625000000001,5,2,5,4.25,Others,2,Premium
218,357,10,380.53999999999996,2019-09-19,2023-01-06,38.053999999999995,1,3,2,1.9000000000000001,Others,0,Low Value
219,290,14,829.5699999999999,2019-04-27,2023-03-14,59.254999999999995,1,5,5,3.6,Others,3,High Value
220,112,10,389.66,2019-11-23,2023-09-08,38.966,2,3,2,2.25,At Risk,0,Low Value
221,165,16,633.5,2019-05-08,2023-07-17,39.59375,2,5,4,3.55,Loyal Customers,3,High Value
222,27,11,789.91,2019-09-02,2023-12-02,71.81,4,3,5,4.15,Loyal Customers,2,Premium
223,57,13,517.55,2019-04-24,2023-11-02,39.81153846153846,3,4,3,3.25,Loyal Customers,3,High Value
224,108,12,1288.74,2019-04-11,2023-09-12,107.395,2,4,5,3.7,Loyal Customers,3,High Value
225,89,13,464.11,2019-06-21,2023-10-01,35.70076923076923,2,4,3,2.9000000000000004,Loyal Customers,3,High Value
226,46,12,992.11,2019-01-01,2023-11-13,82.67583333333333,3,4,5,4.05,Loyal Customers,2,Premium
227,130,11,638.59,2019-09-02,2023-08-21,58.053636363636365,2,3,4,3.05,Loyal Customers,3,High Value
228,77,12,665.1700000000001,2019-01-05,2023-10-13,55.43083333333334,3,4,4,3.65,Loyal Customers,3,High Value
229,37,10,315.52,2019-12-07,2023-11-22,31.552,4,3,1,2.55,Potential Loyalists,1,Mid Value
230,107,16,883.57,2019-05-24,2023-09-13,55.223125,2,5,5,3.95,Loyal Customers,3,High Value
231,21,11,871.08,2019-08-27,2023-12-08,79.18909090909091,5,3,5,4.5,Loyal Customers,2,Premium
232,271,9,312.87,2019-04-15,2023-04-02,34.763333333333335,1,2,1,1.25,Lost,0,Low Value
233,52,5,216.19,2019-11-01,2023-11-07,43.238,3,1,1,1.6999999999999997,Potential Loyalists,0,Low Value
234,471,6,256.38,2019-04-11,2022-09-14,42.73,1,1,1,1.0,Lost,0,Low Value
235,70,8,262.79,2019-11-12,2023-10-20,32.84875,3,2,1,1.9499999999999997,Potential Loyalists,0,Low Value
236,2,14,537.41,2019-01-12,2023-12-27,38.38642857142857,5,5,3,4.2,Loyal Customers,2,Premium
237,381,7,349.85,2019-02-25,2022-12-13,49.978571428571435,1,1,2,1.4,Lost,0,Low Value
238,712,6,214.09,2019-11-13,2022-01-16,35.681666666666665,1,1,1,1.0,Lost,0,Low Value
239,109,9,509.61,2020-01-01,2023-09-11,56.623333333333335,2,2,3,2.4000000000000004,At Risk,0,Low Value
240,33,10,617.0799999999999,2020-05-13,2023-11-26,61.70799999999999,4,3,4,3.75,Loyal Customers,2,Premium
241,13,6,421.74,2019-06-27,2023-12-16,70.29,5,1,2,2.8,Potential Loyalists,1,Mid Value
242,46,13,484.71999999999997,2019-03-18,2023-11-13,37.286153846153844,3,4,3,3.25,Loyal Customers,3,High Value
243,24,11,522.12,2019-02-07,2023-12-05,47.46545454545455,5,3,3,3.7,Loyal Customers,1,Mid Value
244,21,11,507.35,2019-06-20,2023-12-08,46.122727272727275,5,3,3,3.7,Loyal Customers,1,Mid Value
245,40,16,684.3,2019-11-23,2023-11-19,42.76875,4,5,4,4.25,Champions,2,Premium
246,130,14,555.0600000000001,2019-03-12,2023-08-21,39.64714285714286,2,5,3,3.1500000000000004,Loyal Customers,3,High Value
247,468,4,291.03000000000003,2020-09-12,2022-09-17,72.75750000000001,1,1,1,1.0,Lost,0,Low Value
248,236,10,550.14,2019-09-08,2023-05-07,55.013999999999996,2,3,3,2.6500000000000004,Loyal Customers,3,High Value
249,46,11,470.67,2019-05-16,2023-11-13,42.78818181818182,3,3,3,3.0,Loyal Customers,3,High Value
250,34,9,326.72,2019-06-11,2023-11-25,36.30222222222223,4,2,2,2.7,Potential Loyalists,1,Mid Value
